Classificador | Configuracao | 0 | 0 | - | 1 | 1 | - | 2 | 2 | - | 3 | 3 | - | 4 | 4 | - | 5 | 5 | - | 6 | 6 | - | 7 | 7 | - | 8 | 8 | - | 9 | 9 | - | Total
aaa | bbb | 594 | 754 | - | 590 | 754 | - | 573 | 753 | - | 613 | 753 | - | 575 | 753 | - | 576 | 753 | - | 571 | 753 | - | 594 | 753 | - | 594 | 753 | - | 598 | 753 | - | 78.04036112586299
abc | cde | 302 | 390 | - | 292 | 390 | - | 321 | 390 | - | 295 | 390 | - | 297 | 390 | - | 304 | 390 | - | 304 | 390 | - | 294 | 390 | - | 300 | 390 | - | 303 | 389 | - | 77.25057707104386

